state,age_group,gender,race,cause_of_death,deaths,population
Alabama,45-54 years,Female,Black or African American,Other ill-defined and unspecified causes of mortality,12.0,89990.0
Alabama,45-54 years,Female,White,"Septicaemia, unspecified",31.0,232779.0
Alabama,45-54 years,Female,White,"Colon, unspecified - Malignant neoplasms",24.0,232779.0
Alabama,45-54 years,Female,White,"Pancreas, unspecified - Malignant neoplasms",14.0,232779.0
Alabama,45-54 years,Female,White,"Bronchus or lung, unspecified - Malignant neoplasms",72.0,232779.0
Alabama,45-54 years,Female,White,"Breast, unspecified - Malignant neoplasms",52.0,232779.0
Alabama,45-54 years,Female,White,"Cervix uteri, unspecified - Malignant neoplasms",19.0,232779.0
Alabama,45-54 years,Female,White,Malignant neoplasm of ovary,14.0,232779.0
Alabama,45-54 years,Female,White,"Brain, unspecified - Malignant neoplasms",12.0,232779.0
Alabama,45-54 years,Female,White,Malignant neoplasm without specification of site,21.0,232779.0
Alabama,45-54 years,Female,White,"Unspecified diabetes mellitus, without complications",12.0,232779.0
Alabama,45-54 years,Female,White,Essential (primary) hypertension,10.0,232779.0
Alabama,45-54 years,Female,White,"Acute myocardial infarction, unspecified",46.0,232779.0
Alabama,45-54 years,Female,White,"Atherosclerotic cardiovascular disease, so described",11.0,232779.0
Alabama,45-54 years,Female,White,Atherosclerotic heart disease,13.0,232779.0
Alabama,45-54 years,Female,White,"Cardiac arrest, unspecified",62.0,232779.0
Alabama,45-54 years,Female,White,"Cardiac arrhythmia, unspecified",13.0,232779.0
Alabama,45-54 years,Female,White,Congestive heart failure,17.0,232779.0
Alabama,45-54 years,Female,White,"Heart disease, unspecified",10.0,232779.0
Alabama,45-54 years,Female,White,"Stroke, not specified as haemorrhage or infarction",13.0,232779.0
Alabama,45-54 years,Female,White,"Pneumonia, unspecified",16.0,232779.0
Alabama,45-54 years,Female,White,"Chronic obstructive pulmonary disease, unspecified",47.0,232779.0
Alabama,45-54 years,Female,White,Alcoholic cirrhosis of liver,11.0,232779.0
Alabama,45-54 years,Female,White,Other and unspecified cirrhosis of liver,37.0,232779.0
Alabama,45-54 years,Female,White,Other ill-defined and unspecified causes of mortality,16.0,232779.0
Alabama,45-54 years,Female,White,"Person injured in unspecified motor-vehicle accident, traffic",16.0,232779.0
Alabama,45-54 years,Female,White,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",14.0,232779.0
Alabama,45-54 years,Female,White,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",38.0,232779.0
Alabama,45-54 years,Female,White,Intentional self-harm by other and unspecified firearm discharge,17.0,232779.0
Alabama,45-54 years,Male,Black or African American,"Septicaemia, unspecified",12.0,73771.0
Alabama,45-54 years,Male,Black or African American,"Colon, unspecified - Malignant neoplasms",10.0,73771.0
Alabama,45-54 years,Male,Black or African American,"Pancreas, unspecified - Malignant neoplasms",11.0,73771.0
Alabama,45-54 years,Male,Black or African American,"Bronchus or lung, unspecified - Malignant neoplasms",20.0,73771.0
Alabama,45-54 years,Male,Black or African American,"Unspecified diabetes mellitus, without complications",20.0,73771.0
Alabama,45-54 years,Male,Black or African American,Essential (primary) hypertension,10.0,73771.0
Alabama,45-54 years,Male,Black or African American,Hypertensive heart disease without (congestive) heart failure,10.0,73771.0
Alabama,45-54 years,Male,Black or African American,"Acute myocardial infarction, unspecified",28.0,73771.0
Alabama,45-54 years,Male,Black or African American,Atherosclerotic heart disease,20.0,73771.0
Alabama,45-54 years,Male,Black or African American,"Cardiac arrest, unspecified",33.0,73771.0
Alabama,45-54 years,Male,Black or African American,Congestive heart failure,12.0,73771.0
Alabama,45-54 years,Male,Black or African American,"Stroke, not specified as haemorrhage or infarction",11.0,73771.0
Alabama,45-54 years,Male,Black or African American,Other ill-defined and unspecified causes of mortality,10.0,73771.0
Alabama,45-54 years,Male,Black or African American,"Person injured in unspecified motor-vehicle accident, traffic",16.0,73771.0
Alabama,45-54 years,Male,Black or African American,Assault by other and unspecified firearm discharge,14.0,73771.0
Alabama,45-54 years,Male,White,"Septicaemia, unspecified",22.0,231901.0
Alabama,45-54 years,Male,White,"Oesophagus, unspecified - Malignant neoplasms",15.0,231901.0
Alabama,45-54 years,Male,White,"Colon, unspecified - Malignant neoplasms",26.0,231901.0
Alabama,45-54 years,Male,White,"Pancreas, unspecified - Malignant neoplasms",30.0,231901.0
Alabama,45-54 years,Male,White,"Bronchus or lung, unspecified - Malignant neoplasms",75.0,231901.0
Alabama,45-54 years,Male,White,"Brain, unspecified - Malignant neoplasms",17.0,231901.0
Alabama,45-54 years,Male,White,Malignant neoplasm without specification of site,15.0,231901.0
Alabama,45-54 years,Male,White,"Unspecified diabetes mellitus, without complications",25.0,231901.0
Alabama,45-54 years,Male,White,"Anoxic brain damage, not elsewhere classified",12.0,231901.0
Alabama,45-54 years,Male,White,Essential (primary) hypertension,19.0,231901.0
Alabama,45-54 years,Male,White,Hypertensive heart disease without (congestive) heart failure,14.0,231901.0
Alabama,45-54 years,Male,White,"Acute myocardial infarction, unspecified",101.0,231901.0
Alabama,45-54 years,Male,White,"Atherosclerotic cardiovascular disease, so described",38.0,231901.0
Alabama,45-54 years,Male,White,Atherosclerotic heart disease,39.0,231901.0
Alabama,45-54 years,Male,White,Pulmonary embolism without mention of acute cor pulmonale,13.0,231901.0
Alabama,45-54 years,Male,White,"Sudden cardiac death, so described",21.0,231901.0
Alabama,45-54 years,Male,White,"Cardiac arrest, unspecified",91.0,231901.0
Alabama,45-54 years,Male,White,"Cardiac arrhythmia, unspecified",22.0,231901.0
Alabama,45-54 years,Male,White,Congestive heart failure,16.0,231901.0
Alabama,45-54 years,Male,White,"Stroke, not specified as haemorrhage or infarction",21.0,231901.0
Alabama,45-54 years,Male,White,"Pneumonia, unspecified",16.0,231901.0
Alabama,45-54 years,Male,White,"Chronic obstructive pulmonary disease, unspecified",39.0,231901.0
Alabama,45-54 years,Male,White,Alcoholic cirrhosis of liver,32.0,231901.0
Alabama,45-54 years,Male,White,Other and unspecified cirrhosis of liver,42.0,231901.0
Alabama,45-54 years,Male,White,"Acute pancreatitis, unspecified",10.0,231901.0
Alabama,45-54 years,Male,White,"Gastrointestinal haemorrhage, unspecified",10.0,231901.0
Alabama,45-54 years,Male,White,"Chronic kidney disease, stage 5",13.0,231901.0
Alabama,45-54 years,Male,White,Other ill-defined and unspecified causes of mortality,21.0,231901.0
Alabama,45-54 years,Male,White,Person injured in collision between other specified motor vehicles (traffic),13.0,231901.0
Alabama,45-54 years,Male,White,"Person injured in unspecified motor-vehicle accident, traffic",34.0,231901.0
Alabama,45-54 years,Male,White,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",19.0,231901.0
Alabama,45-54 years,Male,White,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",28.0,231901.0
Alabama,45-54 years,Male,White,"Intentional self-harm by hanging, strangulation and suffocation",21.0,231901.0
Alabama,45-54 years,Male,White,Intentional self-harm by handgun discharge,14.0,231901.0
Alabama,45-54 years,Male,White,Intentional self-harm by other and unspecified firearm discharge,57.0,231901.0
Alabama,45-54 years,Male,White,Assault by other and unspecified firearm discharge,13.0,231901.0
Alabama,55-64 years,Female,Black or African American,"Septicaemia, unspecified",30.0,89341.0
Alabama,55-64 years,Female,Black or African American,"Colon, unspecified - Malignant neoplasms",22.0,89341.0
Alabama,55-64 years,Female,Black or African American,"Pancreas, unspecified - Malignant neoplasms",22.0,89341.0
Alabama,55-64 years,Female,Black or African American,"Bronchus or lung, unspecified - Malignant neoplasms",50.0,89341.0
Alabama,55-64 years,Female,Black or African American,"Breast, unspecified - Malignant neoplasms",46.0,89341.0
Alabama,55-64 years,Female,Black or African American,Malignant neoplasm of ovary,14.0,89341.0
Alabama,55-64 years,Female,Black or African American,Malignant neoplasm without specification of site,16.0,89341.0
Alabama,55-64 years,Female,Black or African American,"Unspecified diabetes mellitus, with renal complications",12.0,89341.0
Alabama,55-64 years,Female,Black or African American,"Unspecified diabetes mellitus, without complications",14.0,89341.0
Alabama,55-64 years,Female,Black or African American,Essential (primary) hypertension,10.0,89341.0
Alabama,55-64 years,Female,Black or African American,"Acute myocardial infarction, unspecified",46.0,89341.0
Alabama,55-64 years,Female,Black or African American,"Atherosclerotic cardiovascular disease, so described",12.0,89341.0
Alabama,55-64 years,Female,Black or African American,Atherosclerotic heart disease,23.0,89341.0
Alabama,55-64 years,Female,Black or African American,"Chronic ischaemic heart disease, unspecified",10.0,89341.0
Alabama,55-64 years,Female,Black or African American,"Cardiomyopathy, unspecified",13.0,89341.0
Alabama,55-64 years,Female,Black or African American,"Cardiac arrest, unspecified",39.0,89341.0
Alabama,55-64 years,Female,Black or African American,"Cardiac arrhythmia, unspecified",10.0,89341.0
Alabama,55-64 years,Female,Black or African American,Congestive heart failure,21.0,89341.0
Alabama,55-64 years,Female,Black or African American,"Stroke, not specified as haemorrhage or infarction",30.0,89341.0
Alabama,55-64 years,Female,Black or African American,"Pneumonia, unspecified",13.0,89341.0
Alabama,55-64 years,Female,Black or African American,"Chronic obstructive pulmonary disease, unspecified",27.0,89341.0
Alabama,55-64 years,Female,Black or African American,"Chronic kidney disease, stage 5",17.0,89341.0
Alabama,55-64 years,Female,Black or African American,Other ill-defined and unspecified causes of mortality,16.0,89341.0
Alabama,55-64 years,Female,White,"Septicaemia, unspecified",51.0,242067.0
Alabama,55-64 years,Female,White,"Oesophagus, unspecified - Malignant neoplasms",10.0,242067.0
Alabama,55-64 years,Female,White,"Colon, unspecified - Malignant neoplasms",42.0,242067.0
Alabama,55-64 years,Female,White,"Liver, unspecified - Malignant neoplasms",12.0,242067.0
Alabama,55-64 years,Female,White,"Pancreas, unspecified - Malignant neoplasms",34.0,242067.0
Alabama,55-64 years,Female,White,"Bronchus or lung, unspecified - Malignant neoplasms",218.0,242067.0
Alabama,55-64 years,Female,White,"Breast, unspecified - Malignant neoplasms",84.0,242067.0
Alabama,55-64 years,Female,White,Malignant neoplasm of ovary,34.0,242067.0
Alabama,55-64 years,Female,White,"Brain, unspecified - Malignant neoplasms",17.0,242067.0
Alabama,55-64 years,Female,White,Malignant neoplasm without specification of site,30.0,242067.0
Alabama,55-64 years,Female,White,"Unspecified diabetes mellitus, without complications",21.0,242067.0
Alabama,55-64 years,Female,White,Unspecified dementia,12.0,242067.0
Alabama,55-64 years,Female,White,"Anoxic brain damage, not elsewhere classified",16.0,242067.0
Alabama,55-64 years,Female,White,"Encephalopathy, unspecified",10.0,242067.0
Alabama,55-64 years,Female,White,Essential (primary) hypertension,21.0,242067.0
Alabama,55-64 years,Female,White,Hypertensive heart disease without (congestive) heart failure,12.0,242067.0
Alabama,55-64 years,Female,White,"Acute myocardial infarction, unspecified",86.0,242067.0
Alabama,55-64 years,Female,White,"Atherosclerotic cardiovascular disease, so described",26.0,242067.0
Alabama,55-64 years,Female,White,Atherosclerotic heart disease,48.0,242067.0
Alabama,55-64 years,Female,White,"Chronic ischaemic heart disease, unspecified",10.0,242067.0
Alabama,55-64 years,Female,White,Pulmonary embolism without mention of acute cor pulmonale,13.0,242067.0
Alabama,55-64 years,Female,White,"Cardiac arrest, unspecified",84.0,242067.0
Alabama,55-64 years,Female,White,"Cardiac arrhythmia, unspecified",16.0,242067.0
Alabama,55-64 years,Female,White,Congestive heart failure,29.0,242067.0
Alabama,55-64 years,Female,White,"Cardiovascular disease, unspecified",11.0,242067.0
Alabama,55-64 years,Female,White,"Heart disease, unspecified",13.0,242067.0
Alabama,55-64 years,Female,White,"Intracerebral haemorrhage, unspecified",11.0,242067.0
Alabama,55-64 years,Female,White,"Stroke, not specified as haemorrhage or infarction",35.0,242067.0
Alabama,55-64 years,Female,White,"Pneumonia, unspecified",40.0,242067.0
Alabama,55-64 years,Female,White,Chronic obstructive pulmonary disease with acute lower respiratory infection,16.0,242067.0
Alabama,55-64 years,Female,White,"Chronic obstructive pulmonary disease, unspecified",132.0,242067.0
Alabama,55-64 years,Female,White,"Respiratory failure, unspecified",13.0,242067.0
Alabama,55-64 years,Female,White,"Hepatic failure, unspecified",10.0,242067.0
Alabama,55-64 years,Female,White,Other and unspecified cirrhosis of liver,55.0,242067.0
Alabama,55-64 years,Female,White,"Liver disease, unspecified",10.0,242067.0
Alabama,55-64 years,Female,White,"Chronic kidney disease, stage 5",15.0,242067.0
Alabama,55-64 years,Female,White,Unspecified renal failure,16.0,242067.0
Alabama,55-64 years,Female,White,Other ill-defined and unspecified causes of mortality,25.0,242067.0
Alabama,55-64 years,Female,White,"Person injured in unspecified motor-vehicle accident, traffic",14.0,242067.0
Alabama,55-64 years,Female,White,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",14.0,242067.0
Alabama,55-64 years,Female,White,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",25.0,242067.0
Alabama,55-64 years,Female,White,Intentional self-harm by other and unspecified firearm discharge,25.0,242067.0
Alabama,55-64 years,Male,Black or African American,"Septicaemia, unspecified",28.0,72068.0
Alabama,55-64 years,Male,Black or African American,"Oesophagus, unspecified - Malignant neoplasms",13.0,72068.0
Alabama,55-64 years,Male,Black or African American,"Stomach, unspecified - Malignant neoplasms",18.0,72068.0
Alabama,55-64 years,Male,Black or African American,"Colon, unspecified - Malignant neoplasms",32.0,72068.0
Alabama,55-64 years,Male,Black or African American,Liver cell carcinoma - Malignant neoplasms,13.0,72068.0
Alabama,55-64 years,Male,Black or African American,"Liver, unspecified - Malignant neoplasms",13.0,72068.0
Alabama,55-64 years,Male,Black or African American,"Pancreas, unspecified - Malignant neoplasms",18.0,72068.0
Alabama,55-64 years,Male,Black or African American,"Bronchus or lung, unspecified - Malignant neoplasms",112.0,72068.0
Alabama,55-64 years,Male,Black or African American,Malignant neoplasm of prostate,37.0,72068.0
Alabama,55-64 years,Male,Black or African American,Malignant neoplasm without specification of site,15.0,72068.0
Alabama,55-64 years,Male,Black or African American,"Unspecified diabetes mellitus, with renal complications",12.0,72068.0
Alabama,55-64 years,Male,Black or African American,"Unspecified diabetes mellitus, without complications",18.0,72068.0
Alabama,55-64 years,Male,Black or African American,"Anoxic brain damage, not elsewhere classified",14.0,72068.0
Alabama,55-64 years,Male,Black or African American,Essential (primary) hypertension,20.0,72068.0
Alabama,55-64 years,Male,Black or African American,Hypertensive heart disease without (congestive) heart failure,23.0,72068.0
Alabama,55-64 years,Male,Black or African American,"Acute myocardial infarction, unspecified",58.0,72068.0
Alabama,55-64 years,Male,Black or African American,"Atherosclerotic cardiovascular disease, so described",36.0,72068.0
Alabama,55-64 years,Male,Black or African American,Atherosclerotic heart disease,36.0,72068.0
Alabama,55-64 years,Male,Black or African American,"Chronic ischaemic heart disease, unspecified",16.0,72068.0
Alabama,55-64 years,Male,Black or African American,"Cardiomyopathy, unspecified",12.0,72068.0
Alabama,55-64 years,Male,Black or African American,"Cardiac arrest, unspecified",58.0,72068.0
Alabama,55-64 years,Male,Black or African American,Ventricular fibrillation and flutter,10.0,72068.0
Alabama,55-64 years,Male,Black or African American,Congestive heart failure,45.0,72068.0
Alabama,55-64 years,Male,Black or African American,"Heart failure, unspecified",10.0,72068.0
Alabama,55-64 years,Male,Black or African American,"Intracranial haemorrhage (nontraumatic), unspecified",12.0,72068.0
Alabama,55-64 years,Male,Black or African American,"Stroke, not specified as haemorrhage or infarction",28.0,72068.0
Alabama,55-64 years,Male,Black or African American,"Pneumonia, unspecified",16.0,72068.0
Alabama,55-64 years,Male,Black or African American,"Chronic obstructive pulmonary disease, unspecified",25.0,72068.0
Alabama,55-64 years,Male,Black or African American,Pneumonitis due to food and vomit,10.0,72068.0
Alabama,55-64 years,Male,Black or African American,Alcoholic cirrhosis of liver,10.0,72068.0
Alabama,55-64 years,Male,Black or African American,Other and unspecified cirrhosis of liver,17.0,72068.0
Alabama,55-64 years,Male,Black or African American,"Chronic kidney disease, stage 5",15.0,72068.0
Alabama,55-64 years,Male,Black or African American,Other ill-defined and unspecified causes of mortality,29.0,72068.0
Alabama,55-64 years,Male,Black or African American,"Person injured in unspecified motor-vehicle accident, traffic",17.0,72068.0
Alabama,55-64 years,Male,Black or African American,Assault by other and unspecified firearm discharge,10.0,72068.0
Alabama,55-64 years,Male,White,"Septicaemia, unspecified",70.0,229451.0
Alabama,55-64 years,Male,White,Chronic viral hepatitis C,18.0,229451.0
Alabama,55-64 years,Male,White,"Pharynx, unspecified - Malignant neoplasms",12.0,229451.0
Alabama,55-64 years,Male,White,"Oesophagus, unspecified - Malignant neoplasms",40.0,229451.0
Alabama,55-64 years,Male,White,"Colon, unspecified - Malignant neoplasms",57.0,229451.0
Alabama,55-64 years,Male,White,Malignant neoplasm of rectum,19.0,229451.0
Alabama,55-64 years,Male,White,Liver cell carcinoma - Malignant neoplasms,32.0,229451.0
Alabama,55-64 years,Male,White,Intrahepatic bile duct carcinoma - Malignant neoplasms,10.0,229451.0
Alabama,55-64 years,Male,White,"Liver, unspecified - Malignant neoplasms",38.0,229451.0
Alabama,55-64 years,Male,White,"Pancreas, unspecified - Malignant neoplasms",68.0,229451.0
Alabama,55-64 years,Male,White,"Larynx, unspecified - Malignant neoplasms",18.0,229451.0
Alabama,55-64 years,Male,White,"Bronchus or lung, unspecified - Malignant neoplasms",292.0,229451.0
Alabama,55-64 years,Male,White,"Malignant melanoma of skin, unspecified - Malignant neoplasms",13.0,229451.0
Alabama,55-64 years,Male,White,Malignant neoplasm of prostate,31.0,229451.0
Alabama,55-64 years,Male,White,"Malignant neoplasm of kidney, except renal pelvis",20.0,229451.0
Alabama,55-64 years,Male,White,"Bladder, unspecified - Malignant neoplasms",19.0,229451.0
Alabama,55-64 years,Male,White,"Brain, unspecified - Malignant neoplasms",35.0,229451.0
Alabama,55-64 years,Male,White,Secondary malignant neoplasm of other specified sites - Malignant neoplasms,12.0,229451.0
Alabama,55-64 years,Male,White,Malignant neoplasm without specification of site,42.0,229451.0
Alabama,55-64 years,Male,White,"Non-Hodgkin lymphoma, unspecified type",10.0,229451.0
Alabama,55-64 years,Male,White,"Non-insulin-dependent diabetes mellitus, without complications",13.0,229451.0
Alabama,55-64 years,Male,White,"Unspecified diabetes mellitus, without complications",63.0,229451.0
Alabama,55-64 years,Male,White,"Mental and behavioural disorders due to use of alcohol, harmful use",11.0,229451.0
Alabama,55-64 years,Male,White,"Mental and behavioural disorders due to use of alcohol, dependence syndrome",15.0,229451.0
Alabama,55-64 years,Male,White,Motor neuron disease,16.0,229451.0
Alabama,55-64 years,Male,White,"Anoxic brain damage, not elsewhere classified",14.0,229451.0
Alabama,55-64 years,Male,White,Essential (primary) hypertension,32.0,229451.0
Alabama,55-64 years,Male,White,Hypertensive heart disease without (congestive) heart failure,31.0,229451.0
Alabama,55-64 years,Male,White,"Acute myocardial infarction, unspecified",193.0,229451.0
Alabama,55-64 years,Male,White,"Atherosclerotic cardiovascular disease, so described",76.0,229451.0
Alabama,55-64 years,Male,White,Atherosclerotic heart disease,90.0,229451.0
Alabama,55-64 years,Male,White,Ischaemic cardiomyopathy,16.0,229451.0
Alabama,55-64 years,Male,White,"Chronic ischaemic heart disease, unspecified",22.0,229451.0
Alabama,55-64 years,Male,White,"Sudden cardiac death, so described",26.0,229451.0
Alabama,55-64 years,Male,White,"Cardiac arrest, unspecified",151.0,229451.0
Alabama,55-64 years,Male,White,Atrial fibrillation and flutter,10.0,229451.0
Alabama,55-64 years,Male,White,"Cardiac arrhythmia, unspecified",37.0,229451.0
Alabama,55-64 years,Male,White,Congestive heart failure,62.0,229451.0
Alabama,55-64 years,Male,White,"Heart failure, unspecified",10.0,229451.0
Alabama,55-64 years,Male,White,"Cardiovascular disease, unspecified",23.0,229451.0
Alabama,55-64 years,Male,White,"Heart disease, unspecified",31.0,229451.0
Alabama,55-64 years,Male,White,"Intracerebral haemorrhage, unspecified",16.0,229451.0
Alabama,55-64 years,Male,White,"Intracranial haemorrhage (nontraumatic), unspecified",11.0,229451.0
Alabama,55-64 years,Male,White,"Stroke, not specified as haemorrhage or infarction",31.0,229451.0
Alabama,55-64 years,Male,White,"Pneumonia, unspecified",41.0,229451.0
Alabama,55-64 years,Male,White,Chronic obstructive pulmonary disease with acute lower respiratory infection,13.0,229451.0
