year,state,age_group,gender,race,deaths,population,crude_rate
2010.0,Alabama,75-84 years,Female,White,5120.0,101523,5043.2
2010.0,Alabama,75-84 years,Male,Black or African American,1013.0,12760,7938.9
2010.0,Alabama,75-84 years,Male,White,4920.0,72282,6806.7
2010.0,Alabama,85+ years,Female,Black or African American,1471.0,10336,14231.8
2010.0,Alabama,85+ years,Female,White,6591.0,42270,15592.6
2010.0,Alabama,85+ years,Male,Black or African American,637.0,3726,17096.1
2010.0,Alabama,85+ years,Male,White,3322.0,19003,17481.5
2010.0,Alaska,15-24 years,Female,White,20.0,32299,61.9
2010.0,Alaska,15-24 years,Male,American Indian or Alaska Native,43.0,11487,374.3
2010.0,Alaska,15-24 years,Male,White,41.0,37821,108.4
2010.0,Alaska,25-34 years,Female,American Indian or Alaska Native,21.0,8090,259.6
2010.0,Alaska,25-34 years,Male,American Indian or Alaska Native,33.0,8324,396.4
2010.0,Alaska,25-34 years,Male,White,56.0,39406,142.1
2010.0,Alaska,35-44 years,Female,American Indian or Alaska Native,25.0,6692,373.6
2010.0,Alaska,35-44 years,Female,White,38.0,32423,117.2
2010.0,Alaska,35-44 years,Male,American Indian or Alaska Native,41.0,6918,592.7
2010.0,Alaska,35-44 years,Male,White,75.0,35941,208.7
2010.0,Alaska,45-54 years,Female,American Indian or Alaska Native,56.0,7668,730.3
2010.0,Alaska,45-54 years,Female,White,120.0,40261,298.1
2010.0,Alaska,45-54 years,Male,American Indian or Alaska Native,65.0,7487,868.2
2010.0,Alaska,45-54 years,Male,White,190.0,44864,423.5
2010.0,Alaska,55-64 years,Female,American Indian or Alaska Native,48.0,5192,924.5
2010.0,Alaska,55-64 years,Female,White,157.0,31276,502.0
2010.0,Alaska,55-64 years,Male,American Indian or Alaska Native,64.0,5029,1272.6
2010.0,Alaska,55-64 years,Male,White,318.0,37125,856.6
2010.0,Alaska,65-74 years,Female,American Indian or Alaska Native,63.0,2503,2517.0
2010.0,Alaska,65-74 years,Female,White,190.0,12797,1484.7
2010.0,Alaska,65-74 years,Male,American Indian or Alaska Native,89.0,2390,3723.8
2010.0,Alaska,65-74 years,Male,White,305.0,14711,2073.3
2010.0,Alaska,75-84 years,Female,American Indian or Alaska Native,80.0,1373,5826.7
2010.0,Alaska,75-84 years,Female,White,224.0,5906,3792.8
2010.0,Alaska,75-84 years,Male,American Indian or Alaska Native,73.0,1006,7256.5
2010.0,Alaska,75-84 years,Male,White,285.0,5320,5357.1
2010.0,Alaska,85+ years,Female,American Indian or Alaska Native,70.0,389,17994.9
2010.0,Alaska,85+ years,Female,White,320.0,2445,13087.9
2010.0,Alaska,85+ years,Male,American Indian or Alaska Native,40.0,209,19138.8
2010.0,Alaska,85+ years,Male,White,241.0,1340,17985.1
2010.0,Arizona,< 1 year,Female,American Indian or Alaska Native,20.0,3439,581.6
2010.0,Arizona,< 1 year,Female,Black or African American,29.0,2924,991.8
2010.0,Arizona,< 1 year,Female,White,166.0,34957,474.9
2010.0,Arizona,< 1 year,Male,American Indian or Alaska Native,31.0,3518,881.2
2010.0,Arizona,< 1 year,Male,Black or African American,25.0,3150,793.7
2010.0,Arizona,< 1 year,Male,White,237.0,36325,652.4
2010.0,Arizona,1-4 years,Female,White,43.0,147449,29.2
2010.0,Arizona,1-4 years,Male,White,58.0,153952,37.7
2010.0,Arizona,5-14 years,Female,White,39.0,365219,10.7
2010.0,Arizona,5-14 years,Male,White,62.0,381145,16.3
2010.0,Arizona,15-24 years,Female,White,123.0,361142,34.1
2010.0,Arizona,15-24 years,Male,American Indian or Alaska Native,93.0,34903,266.5
2010.0,Arizona,15-24 years,Male,Black or African American,31.0,30533,101.5
2010.0,Arizona,15-24 years,Male,White,375.0,384067,97.6
2010.0,Arizona,25-34 years,Female,American Indian or Alaska Native,48.0,26076,184.1
2010.0,Arizona,25-34 years,Female,White,221.0,349126,63.3
2010.0,Arizona,25-34 years,Male,American Indian or Alaska Native,114.0,27467,415.0
2010.0,Arizona,25-34 years,Male,Asian or Pacific Islander,20.0,19459,102.8
2010.0,Arizona,25-34 years,Male,Black or African American,43.0,25911,166.0
2010.0,Arizona,25-34 years,Male,White,549.0,364994,150.4
2010.0,Arizona,35-44 years,Female,American Indian or Alaska Native,61.0,22382,272.5
2010.0,Arizona,35-44 years,Female,Black or African American,23.0,19809,116.1
2010.0,Arizona,35-44 years,Female,White,408.0,343924,118.6
2010.0,Arizona,35-44 years,Male,American Indian or Alaska Native,129.0,22004,586.3
2010.0,Arizona,35-44 years,Male,Black or African American,46.0,22404,205.3
2010.0,Arizona,35-44 years,Male,White,740.0,353560,209.3
2010.0,Arizona,45-54 years,Female,American Indian or Alaska Native,140.0,21681,645.7
2010.0,Arizona,45-54 years,Female,Black or African American,77.0,18107,425.2
2010.0,Arizona,45-54 years,Female,White,1077.0,372412,289.2
2010.0,Arizona,45-54 years,Male,American Indian or Alaska Native,188.0,19756,951.6
2010.0,Arizona,45-54 years,Male,Asian or Pacific Islander,32.0,12810,249.8
2010.0,Arizona,45-54 years,Male,Black or African American,103.0,19775,520.9
2010.0,Arizona,45-54 years,Male,White,1845.0,362569,508.9
2010.0,Arizona,55-64 years,Female,American Indian or Alaska Native,115.0,13911,826.7
2010.0,Arizona,55-64 years,Female,Asian or Pacific Islander,39.0,11405,342.0
2010.0,Arizona,55-64 years,Female,Black or African American,109.0,11617,938.3
2010.0,Arizona,55-64 years,Female,White,2047.0,343676,595.6
2010.0,Arizona,55-64 years,Male,American Indian or Alaska Native,186.0,12151,1530.7
2010.0,Arizona,55-64 years,Male,Asian or Pacific Islander,51.0,7669,665.0
2010.0,Arizona,55-64 years,Male,Black or African American,158.0,11893,1328.5
2010.0,Arizona,55-64 years,Male,White,3257.0,313906,1037.6
2010.0,Arizona,65-74 years,Female,American Indian or Alaska Native,129.0,7706,1674.0
2010.0,Arizona,65-74 years,Female,Asian or Pacific Islander,39.0,5925,658.2
2010.0,Arizona,65-74 years,Female,Black or African American,102.0,6217,1640.7
2010.0,Arizona,65-74 years,Female,White,3101.0,241817,1282.4
2010.0,Arizona,65-74 years,Male,American Indian or Alaska Native,161.0,6114,2633.3
2010.0,Arizona,65-74 years,Male,Asian or Pacific Islander,46.0,4290,1072.3
2010.0,Arizona,65-74 years,Male,Black or African American,136.0,5544,2453.1
2010.0,Arizona,65-74 years,Male,White,4374.0,220279,1985.7
2010.0,Arizona,75-84 years,Female,American Indian or Alaska Native,165.0,3761,4387.1
2010.0,Arizona,75-84 years,Female,Asian or Pacific Islander,63.0,2716,2319.6
2010.0,Arizona,75-84 years,Female,Black or African American,124.0,3026,4097.8
2010.0,Arizona,75-84 years,Female,White,5240.0,143306,3656.5
2010.0,Arizona,75-84 years,Male,American Indian or Alaska Native,137.0,2627,5215.1
2010.0,Arizona,75-84 years,Male,Asian or Pacific Islander,67.0,1755,3817.7
2010.0,Arizona,75-84 years,Male,Black or African American,152.0,2242,6779.7
2010.0,Arizona,75-84 years,Male,White,5917.0,121106,4885.8
2010.0,Arizona,85+ years,Female,American Indian or Alaska Native,152.0,1297,11719.4
2010.0,Arizona,85+ years,Female,Asian or Pacific Islander,56.0,717,7810.3
2010.0,Arizona,85+ years,Female,Black or African American,128.0,1101,11625.8
2010.0,Arizona,85+ years,Female,White,7868.0,62547,12579.3
2010.0,Arizona,85+ years,Male,American Indian or Alaska Native,99.0,732,13524.6
2010.0,Arizona,85+ years,Male,Asian or Pacific Islander,41.0,397,10327.5
2010.0,Arizona,85+ years,Male,Black or African American,74.0,497,14889.3
2010.0,Arizona,85+ years,Male,White,5068.0,36112,14034.1
2010.0,Arkansas,< 1 year,Female,Black or African American,31.0,3977,779.5
2010.0,Arkansas,< 1 year,Female,White,92.0,14030,655.7
2010.0,Arkansas,< 1 year,Male,Black or African American,46.0,4013,1146.3
2010.0,Arkansas,< 1 year,Male,White,109.0,15061,723.7
2010.0,Arkansas,1-4 years,Female,White,20.0,59257,33.8
2010.0,Arkansas,1-4 years,Male,White,25.0,61946,40.4
2010.0,Arkansas,5-14 years,Female,White,23.0,147737,15.6
2010.0,Arkansas,5-14 years,Male,White,34.0,155825,21.8
2010.0,Arkansas,15-24 years,Female,Black or African American,29.0,40032,72.4
2010.0,Arkansas,15-24 years,Female,White,82.0,152124,53.9
2010.0,Arkansas,15-24 years,Male,Black or African American,56.0,39357,142.3
2010.0,Arkansas,15-24 years,Male,White,194.0,159049,122.0
2010.0,Arkansas,25-34 years,Female,Black or African American,41.0,34901,117.5
2010.0,Arkansas,25-34 years,Female,White,134.0,145712,92.0
2010.0,Arkansas,25-34 years,Male,Black or African American,89.0,30941,287.6
2010.0,Arkansas,25-34 years,Male,White,308.0,150785,204.3
2010.0,Arkansas,35-44 years,Female,Black or African American,93.0,30154,308.4
2010.0,Arkansas,35-44 years,Female,White,262.0,147677,177.4
2010.0,Arkansas,35-44 years,Male,Black or African American,96.0,26222,366.1
2010.0,Arkansas,35-44 years,Male,White,446.0,151100,295.2
2010.0,Arkansas,45-54 years,Female,Black or African American,220.0,32977,667.1
2010.0,Arkansas,45-54 years,Female,White,688.0,168798,407.6
2010.0,Arkansas,45-54 years,Male,Black or African American,276.0,28679,962.4
2010.0,Arkansas,45-54 years,Male,White,1156.0,167440,690.4
2010.0,Arkansas,55-64 years,Female,Black or African American,263.0,24193,1087.1
2010.0,Arkansas,55-64 years,Female,White,1207.0,154114,783.2
2010.0,Arkansas,55-64 years,Male,Black or African American,424.0,21337,1987.2
2010.0,Arkansas,55-64 years,Male,White,1888.0,145117,1301.0
2010.0,Arkansas,65-74 years,Female,Black or African American,278.0,12001,2316.5
2010.0,Arkansas,65-74 years,Female,White,1969.0,110975,1774.3
2010.0,Arkansas,65-74 years,Male,Black or African American,348.0,9329,3730.3
2010.0,Arkansas,65-74 years,Male,White,2693.0,99547,2705.3
2010.0,Arkansas,75-84 years,Female,Black or African American,387.0,7442,5200.2
2010.0,Arkansas,75-84 years,Female,White,3214.0,69573,4619.6
2010.0,Arkansas,75-84 years,Male,Black or African American,318.0,4166,7633.2
2010.0,Arkansas,75-84 years,Male,White,3369.0,51698,6516.7
2010.0,Arkansas,85+ years,Female,Black or African American,488.0,3563,13696.3
2010.0,Arkansas,85+ years,Female,White,4536.0,31112,14579.6
2010.0,Arkansas,85+ years,Male,Black or African American,240.0,1455,16494.8
2010.0,Arkansas,85+ years,Male,White,2558.0,14990,17064.7
2010.0,California,< 1 year,Female,Asian or Pacific Islander,91.0,31622,287.8
2010.0,California,< 1 year,Female,Black or African American,132.0,20058,658.1
2010.0,California,< 1 year,Female,White,836.0,183908,454.6
2010.0,California,< 1 year,Male,Asian or Pacific Islander,128.0,33297,384.4
2010.0,California,< 1 year,Male,Black or African American,192.0,20858,920.5
2010.0,California,< 1 year,Male,White,1017.0,191369,531.4
2010.0,California,1-4 years,Female,Asian or Pacific Islander,21.0,132271,15.9
2010.0,California,1-4 years,Female,Black or African American,28.0,81528,34.3
2010.0,California,1-4 years,Female,White,140.0,755954,18.5
2010.0,California,1-4 years,Male,Asian or Pacific Islander,22.0,138974,15.8
2010.0,California,1-4 years,Male,Black or African American,25.0,84959,29.4
2010.0,California,1-4 years,Male,White,196.0,791359,24.8
2010.0,California,5-14 years,Female,Asian or Pacific Islander,29.0,330621,8.8
2010.0,California,5-14 years,Female,Black or African American,27.0,202902,13.3
2010.0,California,5-14 years,Female,White,187.0,1895429,9.9
2010.0,California,5-14 years,Male,Asian or Pacific Islander,29.0,347530,8.3
2010.0,California,5-14 years,Male,Black or African American,37.0,211723,17.5
2010.0,California,5-14 years,Male,White,236.0,1981957,11.9
2010.0,California,15-24 years,Female,Asian or Pacific Islander,65.0,385489,16.9
2010.0,California,15-24 years,Female,Black or African American,83.0,228986,36.2
2010.0,California,15-24 years,Female,White,538.0,2014413,26.7
2010.0,California,15-24 years,Male,American Indian or Alaska Native,27.0,69745,38.7
2010.0,California,15-24 years,Male,Asian or Pacific Islander,162.0,400727,40.4
2010.0,California,15-24 years,Male,Black or African American,363.0,239659,151.5
2010.0,California,15-24 years,Male,White,1786.0,2185736,81.7
2010.0,California,25-34 years,Female,Asian or Pacific Islander,133.0,444869,29.9
2010.0,California,25-34 years,Female,Black or African American,152.0,189345,80.3
2010.0,California,25-34 years,Female,White,845.0,1914280,44.1
2010.0,California,25-34 years,Male,American Indian or Alaska Native,27.0,61217,44.1
2010.0,California,25-34 years,Male,Asian or Pacific Islander,185.0,405024,45.7
2010.0,California,25-34 years,Male,Black or African American,341.0,191367,178.2
2010.0,California,25-34 years,Male,White,2207.0,2055437,107.4
2010.0,California,35-44 years,Female,American Indian or Alaska Native,21.0,50268,41.8
2010.0,California,35-44 years,Female,Asian or Pacific Islander,246.0,461849,53.3
2010.0,California,35-44 years,Female,Black or African American,349.0,182102,191.7
2010.0,California,35-44 years,Female,White,1869.0,1883798,99.2
2010.0,California,35-44 years,Male,American Indian or Alaska Native,56.0,52715,106.2
2010.0,California,35-44 years,Male,Asian or Pacific Islander,342.0,403480,84.8
2010.0,California,35-44 years,Male,Black or African American,477.0,178666,267.0
2010.0,California,35-44 years,Male,White,3391.0,1969832,172.1
2010.0,California,45-54 years,Female,American Indian or Alaska Native,69.0,46783,147.5
2010.0,California,45-54 years,Female,Asian or Pacific Islander,593.0,427619,138.7
2010.0,California,45-54 years,Female,Black or African American,952.0,195781,486.3
2010.0,California,45-54 years,Female,White,4958.0,1973661,251.2
2010.0,California,45-54 years,Male,American Indian or Alaska Native,122.0,46485,262.5
2010.0,California,45-54 years,Male,Asian or Pacific Islander,787.0,368371,213.6
2010.0,California,45-54 years,Male,Black or African American,1198.0,191507,625.6
2010.0,California,45-54 years,Male,White,8461.0,2002164,422.6
2010.0,California,55-64 years,Female,American Indian or Alaska Native,108.0,29368,367.7
2010.0,California,55-64 years,Female,Asian or Pacific Islander,1013.0,333259,304.0
2010.0,California,55-64 years,Female,Black or African American,1405.0,137586,1021.2
2010.0,California,55-64 years,Female,White,9037.0,1587133,569.4
2010.0,California,55-64 years,Male,American Indian or Alaska Native,157.0,27753,565.7
2010.0,California,55-64 years,Male,Asian or Pacific Islander,1441.0,275202,523.6
2010.0,California,55-64 years,Male,Black or African American,1903.0,124599,1527.3
2010.0,California,55-64 years,Male,White,14504.0,1521593,953.2
2010.0,California,65-74 years,Female,American Indian or Alaska Native,139.0,13844,1004.0
2010.0,California,65-74 years,Female,Asian or Pacific Islander,1475.0,185297,796.0
2010.0,California,65-74 years,Female,Black or African American,1507.0,77115,1954.2
2010.0,California,65-74 years,Female,White,12829.0,945454,1356.9
2010.0,California,65-74 years,Male,American Indian or Alaska Native,160.0,12132,1318.8
2010.0,California,65-74 years,Male,Asian or Pacific Islander,1872.0,149455,1252.6
2010.0,California,65-74 years,Male,Black or African American,1784.0,62237,2866.5
2010.0,California,65-74 years,Male,White,16324.0,829802,1967.2
2010.0,California,75-84 years,Female,American Indian or Alaska Native,144.0,6820,2111.4
2010.0,California,75-84 years,Female,Asian or Pacific Islander,2725.0,113459,2401.7
2010.0,California,75-84 years,Female,Black or African American,1819.0,42469,4283.1
2010.0,California,75-84 years,Female,White,24068.0,624886,3851.6
2010.0,California,75-84 years,Male,American Indian or Alaska Native,132.0,5098,2589.3
2010.0,California,75-84 years,Male,Asian or Pacific Islander,2785.0,79002,3525.2
2010.0,California,75-84 years,Male,Black or African American,1671.0,28369,5890.2
2010.0,California,75-84 years,Male,White,24196.0,470107,5146.9
2010.0,California,85+ years,Female,American Indian or Alaska Native,147.0,2472,5946.6
2010.0,California,85+ years,Female,Asian or Pacific Islander,3732.0,42425,8796.7
2010.0,California,85+ years,Female,Black or African American,2236.0,18610,12015.0
2010.0,California,85+ years,Female,White,40835.0,326646,12501.3
2010.0,California,85+ years,Male,American Indian or Alaska Native,101.0,1387,7281.9
2010.0,California,85+ years,Male,Asian or Pacific Islander,2774.0,25278,10974.0
2010.0,California,85+ years,Male,Black or African American,1118.0,8353,13384.4
2010.0,California,85+ years,Male,White,25603.0,175797,14564.0
2010.0,Colorado,< 1 year,Female,Black or African American,25.0,2210,1131.2
2010.0,Colorado,< 1 year,Female,White,156.0,28294,551.4
2010.0,Colorado,< 1 year,Male,Black or African American,22.0,2304,954.9
2010.0,Colorado,< 1 year,Male,White,174.0,29793,584.0
2010.0,Colorado,1-4 years,Female,White,24.0,117388,20.4
2010.0,Colorado,1-4 years,Male,White,49.0,124259,39.4
2010.0,Colorado,5-14 years,Female,White,28.0,290403,9.6
2010.0,Colorado,5-14 years,Male,White,34.0,305388,11.1
2010.0,Colorado,15-24 years,Female,White,130.0,290759,44.7
2010.0,Colorado,15-24 years,Male,Black or African American,30.0,21870,137.2
2010.0,Colorado,15-24 years,Male,White,296.0,314654,94.1
2010.0,Colorado,25-34 years,Female,White,173.0,313018,55.3
2010.0,Colorado,25-34 years,Male,Black or African American,30.0,20007,149.9
2010.0,Colorado,25-34 years,Male,White,416.0,331960,125.3
2010.0,Colorado,35-44 years,Female,Black or African American,26.0,15154,171.6
2010.0,Colorado,35-44 years,Female,White,331.0,304324,108.8
2010.0,Colorado,35-44 years,Male,Black or African American,40.0,18328,218.2
2010.0,Colorado,35-44 years,Male,White,598.0,319732,187.0
2010.0,Colorado,45-54 years,Female,Black or African American,59.0,14917,395.5
2010.0,Colorado,45-54 years,Female,White,876.0,340367,257.4
2010.0,Colorado,45-54 years,Male,Black or African American,76.0,17333,438.5
2010.0,Colorado,45-54 years,Male,White,1384.0,336222,411.6
2010.0,Colorado,55-64 years,Female,Asian or Pacific Islander,22.0,8180,268.9
2010.0,Colorado,55-64 years,Female,Black or African American,80.0,9434,848.0
2010.0,Colorado,55-64 years,Female,White,1528.0,282054,541.7
2010.0,Colorado,55-64 years,Male,Asian or Pacific Islander,22.0,6001,366.6
2010.0,Colorado,55-64 years,Male,Black or African American,143.0,10327,1384.7
2010.0,Colorado,55-64 years,Male,White,2327.0,274016,849.2
2010.0,Colorado,65-74 years,Female,Asian or Pacific Islander,30.0,4089,733.7
2010.0,Colorado,65-74 years,Female,Black or African American,90.0,5091,1767.8
2010.0,Colorado,65-74 years,Female,White,1966.0,151715,1295.9
2010.0,Colorado,65-74 years,Male,Asian or Pacific Islander,30.0,3031,989.8
2010.0,Colorado,65-74 years,Male,Black or African American,131.0,4391,2983.4
2010.0,Colorado,65-74 years,Male,White,2512.0,138594,1812.5
2010.0,Colorado,75-84 years,Female,Asian or Pacific Islander,52.0,2302,2258.9
2010.0,Colorado,75-84 years,Female,Black or African American,112.0,2683,4174.4
2010.0,Colorado,75-84 years,Female,White,3698.0,91148,4057.1
2010.0,Colorado,75-84 years,Male,American Indian or Alaska Native,23.0,522,4406.1
2010.0,Colorado,75-84 years,Male,Asian or Pacific Islander,47.0,1290,3643.4
2010.0,Colorado,75-84 years,Male,Black or African American,119.0,2035,5847.7
2010.0,Colorado,75-84 years,Male,White,3687.0,69382,5314.1
2010.0,Colorado,85+ years,Female,Asian or Pacific Islander,50.0,699,7153.1
2010.0,Colorado,85+ years,Female,Black or African American,112.0,946,11839.3
2010.0,Colorado,85+ years,Female,White,5907.0,44619,13238.8
2010.0,Colorado,85+ years,Male,Asian or Pacific Islander,50.0,413,12106.5
2010.0,Colorado,85+ years,Male,Black or African American,56.0,359,15598.9
2010.0,Colorado,85+ years,Male,White,3409.0,22212,15347.6
2010.0,Connecticut,< 1 year,Female,Black or African American,24.0,3188,752.8
2010.0,Connecticut,< 1 year,Female,White,65.0,14009,464.0
2010.0,Connecticut,< 1 year,Male,Black or African American,37.0,3296,1122.6
2010.0,Connecticut,< 1 year,Male,White,69.0,14802,466.2
2010.0,Connecticut,15-24 years,Female,White,52.0,184722,28.2
2010.0,Connecticut,15-24 years,Male,Black or African American,48.0,37052,129.5
2010.0,Connecticut,15-24 years,Male,White,160.0,196850,81.3
2010.0,Connecticut,25-34 years,Female,White,56.0,162555,34.4
2010.0,Connecticut,25-34 years,Male,Black or African American,61.0,28082,217.2
2010.0,Connecticut,25-34 years,Male,White,211.0,165882,127.2
2010.0,Connecticut,35-44 years,Female,Black or African American,51.0,31334,162.8
2010.0,Connecticut,35-44 years,Female,White,207.0,201443,102.8
2010.0,Connecticut,35-44 years,Male,Black or African American,61.0,27024,225.7
2010.0,Connecticut,35-44 years,Male,White,356.0,194537,183.0
2010.0,Connecticut,45-54 years,Female,Black or African American,104.0,30369,342.5
2010.0,Connecticut,45-54 years,Female,White,566.0,253384,223.4
2010.0,Connecticut,45-54 years,Male,Black or African American,126.0,26242,480.1
2010.0,Connecticut,45-54 years,Male,White,952.0,243789,390.5
2010.0,Connecticut,55-64 years,Female,Asian or Pacific Islander,20.0,6240,320.5
2010.0,Connecticut,55-64 years,Female,Black or African American,149.0,19655,758.1
2010.0,Connecticut,55-64 years,Female,White,957.0,203084,471.2
2010.0,Connecticut,55-64 years,Male,Asian or Pacific Islander,24.0,5502,436.2
2010.0,Connecticut,55-64 years,Male,Black or African American,189.0,15863,1191.5
2010.0,Connecticut,55-64 years,Male,White,1612.0,191517,841.7
2010.0,Connecticut,65-74 years,Female,Asian or Pacific Islander,21.0,3014,696.7
2010.0,Connecticut,65-74 years,Female,Black or African American,175.0,11454,1527.9
2010.0,Connecticut,65-74 years,Female,White,1611.0,122524,1314.8
2010.0,Connecticut,65-74 years,Male,Asian or Pacific Islander,25.0,2731,915.4
2010.0,Connecticut,65-74 years,Male,Black or African American,202.0,8105,2492.3
2010.0,Connecticut,65-74 years,Male,White,1951.0,106437,1833.0
2010.0,Connecticut,75-84 years,Female,Asian or Pacific Islander,29.0,1321,2195.3
2010.0,Connecticut,75-84 years,Female,Black or African American,203.0,5868,3459.4
2010.0,Connecticut,75-84 years,Female,White,3462.0,91057,3802.0
2010.0,Connecticut,75-84 years,Male,Asian or Pacific Islander,25.0,972,2572.0
2010.0,Connecticut,75-84 years,Male,Black or African American,191.0,3470,5504.3
2010.0,Connecticut,75-84 years,Male,White,3305.0,63716,5187.1
2010.0,Connecticut,85+ years,Female,Asian or Pacific Islander,28.0,337,8308.6
2010.0,Connecticut,85+ years,Female,Black or African American,294.0,2377,12368.5
2010.0,Connecticut,85+ years,Female,White,6835.0,55160,12391.2
2010.0,Connecticut,85+ years,Male,Black or African American,118.0,933,12647.4
2010.0,Connecticut,85+ years,Male,White,3877.0,25782,15037.6
2010.0,Delaware,< 1 year,Female,White,25.0,3401,735.1
2010.0,Delaware,< 1 year,Male,Black or African American,20.0,1668,1199.0
2010.0,Delaware,< 1 year,Male,White,24.0,3574,671.5
2010.0,Delaware,15-24 years,Female,White,23.0,43270,53.2
2010.0,Delaware,15-24 years,Male,Black or African American,25.0,17255,144.9
2010.0,Delaware,15-24 years,Male,White,44.0,44125,99.7
2010.0,Delaware,25-34 years,Female,White,29.0,38366,75.6
2010.0,Delaware,25-34 years,Male,Black or African American,29.0,12537,231.3
2010.0,Delaware,25-34 years,Male,White,60.0,39041,153.7
2010.0,Delaware,35-44 years,Female,Black or African American,25.0,15275,163.7
2010.0,Delaware,35-44 years,Female,White,71.0,41165,172.5
2010.0,Delaware,35-44 years,Male,Black or African American,41.0,12917,317.4
2010.0,Delaware,35-44 years,Male,White,96.0,40420,237.5
2010.0,Delaware,45-54 years,Female,Black or African American,64.0,15645,409.1
2010.0,Delaware,45-54 years,Female,White,176.0,50957,345.4
2010.0,Delaware,45-54 years,Male,Black or African American,100.0,13171,759.2
2010.0,Delaware,45-54 years,Male,White,282.0,49014,575.3
2010.0,Delaware,55-64 years,Female,Black or African American,96.0,10951,876.6
2010.0,Delaware,55-64 years,Female,White,294.0,46178,636.7
2010.0,Delaware,55-64 years,Male,Black or African American,121.0,8593,1408.1
2010.0,Delaware,55-64 years,Male,White,443.0,42057,1053.3
2010.0,Delaware,65-74 years,Female,Black or African American,95.0,5794,1639.6
2010.0,Delaware,65-74 years,Female,White,445.0,32075,1387.4
2010.0,Delaware,65-74 years,Male,Black or African American,154.0,4558,3378.7
2010.0,Delaware,65-74 years,Male,White,607.0,28135,2157.5
2010.0,Delaware,75-84 years,Female,Black or African American,126.0,2973,4238.1
2010.0,Delaware,75-84 years,Female,White,825.0,19855,4155.1
2010.0,Delaware,75-84 years,Male,Black or African American,132.0,1890,6984.1
2010.0,Delaware,75-84 years,Male,White,883.0,15642,5645.1
2010.0,Delaware,85+ years,Female,Black or African American,143.0,1156,12370.2
2010.0,Delaware,85+ years,Female,White,1314.0,9344,14062.5
2010.0,Delaware,85+ years,Male,Black or African American,70.0,532,13157.9
2010.0,Delaware,85+ years,Male,White,710.0,4519,15711.4
2010.0,District of Columbia,< 1 year,Female,Black or African American,25.0,1966,1271.6
2010.0,District of Columbia,< 1 year,Male,Black or African American,31.0,1951,1588.9
2010.0,District of Columbia,15-24 years,Male,Black or African American,55.0,23654,232.5
2010.0,District of Columbia,25-34 years,Female,Black or African American,29.0,23200,125.0
2010.0,District of Columbia,25-34 years,Male,Black or African American,61.0,18985,321.3
2010.0,District of Columbia,35-44 years,Female,Black or African American,53.0,20724,255.7
2010.0,District of Columbia,35-44 years,Male,Black or African American,82.0,17699,463.3
2010.0,District of Columbia,35-44 years,Male,White,23.0,20752,110.8
2010.0,District of Columbia,45-54 years,Female,Black or African American,204.0,25186,810.0
2010.0,District of Columbia,45-54 years,Female,White,20.0,11419,175.1
2010.0,District of Columbia,45-54 years,Male,Black or African American,231.0,22253,1038.1
