Occupation,Hierarchy Levels,variable,value
" Supervisors of installation, maintenance, and repair workers ",1,Total fatal injuries (number),46
" First-line supervisors of mechanics, installers, and repairers ",2,Total fatal injuries (number),46
" First-line supervisors of mechanics, installers, and repairers ",3,Total fatal injuries (number),46
" Forest, conservation, and logging workers ",1,Contact with objects and equipment,46
 Logging workers ,2,Contact with objects and equipment,46
 Police officers ,2,Transportation incidents,45
 Police and sheriff's patrol officers ,3,Transportation incidents,45
" Material recording, scheduling, dispatching, and distributing workers ",1,Total fatal injuries (number),44
 Industrial truck and tractor operators ,2,Total fatal injuries (number),44
 Industrial truck and tractor operators ,3,Total fatal injuries (number),44
 Motor vehicle operators ,1,"Falls, slips, trips",44
" Other installation, maintenance, and repair occupations ",1,Exposure to harmful substances or environments,44
" Other installation, maintenance, and repair occupations ",1,Contact with objects and equipment,44
 Carpenters ,2,"Falls, slips, trips",43
 Carpenters ,3,"Falls, slips, trips",43
 Fallers ,3,Total fatal injuries (number),42
" Welding, soldering, and brazing workers ",2,Total fatal injuries (number),42
 Cooks and food preparation workers ,1,Total fatal injuries (number),41
" Welders, cutters, solderers, and brazers ",3,Total fatal injuries (number),41
 Construction trades workers ,1,Violence and other injuries by persons or animals,41
" Heating, air conditioning, and refrigeration mechanics and installers ",2,Total fatal injuries (number),40
" Heating, air conditioning, and refrigeration mechanics and installers ",3,Total fatal injuries (number),40
 Supervisors of construction and extraction workers ,1,Transportation incidents,40
 First-line supervisors of construction trades and extraction workers ,2,Transportation incidents,40
 First-line supervisors of construction trades and extraction workers ,3,Transportation incidents,40
 Production occupations ,0,Exposure to harmful substances or environments,40
 Top executives ,1,Total fatal injuries (number),39
 Operating engineers and other construction equipment operators ,3,Total fatal injuries (number),39
 Bus and truck mechanics and diesel engine specialists ,2,Total fatal injuries (number),39
 Bus and truck mechanics and diesel engine specialists ,3,Total fatal injuries (number),39
 Line installers and repairers ,2,Total fatal injuries (number),39
 Cashiers ,2,Violence and other injuries by persons or animals,39
 Cashiers ,3,Violence and other injuries by persons or animals,39
 Supervisors of construction and extraction workers ,1,"Falls, slips, trips",39
 First-line supervisors of construction trades and extraction workers ,2,"Falls, slips, trips",39
 First-line supervisors of construction trades and extraction workers ,3,"Falls, slips, trips",39
 Production occupations ,0,"Falls, slips, trips",39
 Business and financial operations occupations ,0,Total fatal injuries (number),38
 Sales and related occupations ,0,Transportation incidents,38
 Construction laborers ,2,Exposure to harmful substances or environments,38
 Construction laborers ,3,Exposure to harmful substances or environments,38
" Entertainers and performers, sports and related workers ",1,Total fatal injuries (number),37
" Pipelayers, plumbers, pipefitters, and steamfitters ",2,Total fatal injuries (number),37
 Refuse and recyclable material collectors ,2,Total fatal injuries (number),37
 Refuse and recyclable material collectors ,3,Total fatal injuries (number),37
 Other protective service workers ,1,Violence and other injuries by persons or animals,37
 Security guards and gaming surveillance officers ,2,Violence and other injuries by persons or animals,37
 Security guards ,3,Violence and other injuries by persons or animals,37
 Driver/sales workers and truck drivers ,2,Violence and other injuries by persons or animals,37
" Farmworkers and laborers, crop, nursery, and greenhouse ",3,Transportation incidents,37
 Military specific occupations(5) ,0,Transportation incidents,37
 Driver/sales workers and truck drivers ,2,"Falls, slips, trips",37
 Agricultural workers ,1,Contact with objects and equipment,37
 Miscellaneous agricultural workers ,2,Contact with objects and equipment,37
 Fallers ,3,Contact with objects and equipment,36
" Laborers and material movers, hand ",2,Contact with objects and equipment,36
 Health diagnosing and treating practitioners ,1,Total fatal injuries (number),35
" Vehicle and mobile equipment mechanics, installers, and repairers ",1,Transportation incidents,35
" Laborers and material movers, hand ",2,Transportation incidents,35
 Management occupations ,0,"Falls, slips, trips",35
" Other installation, maintenance, and repair occupations ",1,"Falls, slips, trips",35
 Landscaping and groundskeeping workers ,3,Exposure to harmful substances or environments,35
 Production occupations ,0,Transportation incidents,34
 Fire fighting and prevention workers ,1,Total fatal injuries (number),33
 Military specific occupations(5) ,0,Violence and other injuries by persons or animals,33
 Driver/sales workers ,3,Transportation incidents,33
 Tree trimmers and pruners ,3,"Falls, slips, trips",33
 Sales and related occupations ,0,"Falls, slips, trips",33
 Electricians ,2,Exposure to harmful substances or environments,33
 Electricians ,3,Exposure to harmful substances or environments,33
 Material moving workers ,1,Exposure to harmful substances or environments,33
 Healthcare support occupations ,0,Total fatal injuries (number),32
 Firefighters ,2,Total fatal injuries (number),32
 Firefighters ,3,Total fatal injuries (number),32
 Cooks ,2,Total fatal injuries (number),32
 Construction equipment operators ,2,Transportation incidents,32
 Food preparation and serving related occupations ,0,Exposure to harmful substances or environments,32
" Laborers and freight, stock, and material movers, hand ",3,Contact with objects and equipment,32
 Fishing and hunting workers ,1,Total fatal injuries (number),31
 Painters and paperhangers ,2,Total fatal injuries (number),31
 Material moving workers ,1,"Falls, slips, trips",31
 Architecture and engineering occupations ,0,Total fatal injuries (number),30
 Food and beverage serving workers ,1,Total fatal injuries (number),30
 Fishers and related fishing workers ,2,Total fatal injuries (number),30
 Fishers and related fishing workers ,3,Total fatal injuries (number),30
" Plumbers, pipefitters, and steamfitters ",3,Total fatal injuries (number),30
 Refuse and recyclable material collectors ,2,Transportation incidents,30
 Refuse and recyclable material collectors ,3,Transportation incidents,30
 Other management occupations ,1,"Falls, slips, trips",30
 Heavy and tractor-trailer truck drivers ,3,"Falls, slips, trips",30
 Health technologists and technicians ,1,Total fatal injuries (number),29
 Supervisors of protective service workers ,1,Total fatal injuries (number),29
" Painters, construction and maintenance ",3,Total fatal injuries (number),29
 Electrical power-line installers and repairers ,3,Total fatal injuries (number),29
 Production occupations ,0,Violence and other injuries by persons or animals,29
" Arts, design, entertainment, sports, and media occupations ",0,Transportation incidents,29
 Healthcare practitioners and technical occupations ,0,Transportation incidents,29
" Electrical and electronic equipment mechanics, installers, and repairers ",1,Total fatal injuries (number),28
 Taxi drivers and chauffeurs ,2,Transportation incidents,28
 Taxi drivers and chauffeurs ,3,Transportation incidents,28
" Laborers and freight, stock, and material movers, hand ",3,Transportation incidents,28
" Farming, fishing, and forestry occupations ",0,Exposure to harmful substances or environments,28
" Education, training, and library occupations ",0,Total fatal injuries (number),27
 Heavy vehicle and mobile equipment service technicians and mechanics ,2,Total fatal injuries (number),27
" Industrial machinery installation, repair, and maintenance workers ",2,Total fatal injuries (number),27
" Vehicle and mobile equipment mechanics, installers, and repairers ",1,Violence and other injuries by persons or animals,27
 Other construction and related workers ,1,Transportation incidents,27
 Construction and extraction occupations ,0,Fires and explosions,27
 Supervisors of construction and extraction workers ,1,Contact with objects and equipment,27
 First-line supervisors of construction trades and extraction workers ,2,Contact with objects and equipment,27
 First-line supervisors of construction trades and extraction workers ,3,Contact with objects and equipment,27
 Supervisors of production workers ,1,Total fatal injuries (number),26
 First-line supervisors of production and operating workers ,2,Total fatal injuries (number),26
 First-line supervisors of production and operating workers ,3,Total fatal injuries (number),26
" Farmers, ranchers, and other agricultural managers ",2,Violence and other injuries by persons or animals,26
" Farmers, ranchers, and other agricultural managers ",3,Violence and other injuries by persons or animals,26
 Other protective service workers ,1,Transportation incidents,26
" Laborers and material movers, hand ",2,Exposure to harmful substances or environments,26
 Landscaping and groundskeeping workers ,3,Contact with objects and equipment,26
 Automotive technicians and repairers ,2,Contact with objects and equipment,26
 Metal workers and plastic workers ,1,Contact with objects and equipment,26
 Miscellaneous production workers ,2,Total fatal injuries (number),25
" Arts, design, entertainment, sports, and media occupations ",0,Violence and other injuries by persons or animals,25
 Personal care and service occupations ,0,Violence and other injuries by persons or animals,25
 Extraction workers ,1,Contact with objects and equipment,25
 Business operations specialists ,1,Total fatal injuries (number),24
" Nursing, psychiatric, and home health aides ",1,Total fatal injuries (number),24
" Nursing, psychiatric, and home health aides ",2,Total fatal injuries (number),24
 Water transportation workers ,1,Total fatal injuries (number),24
 Heavy and tractor-trailer truck drivers ,3,Violence and other injuries by persons or animals,24
 Operating engineers and other construction equipment operators ,3,Transportation incidents,24
 Automotive service technicians and mechanics ,3,Contact with objects and equipment,24
 Chief executives ,2,Total fatal injuries (number),23
 Chief executives ,3,Total fatal injuries (number),23
 Community and social services occupations ,0,Total fatal injuries (number),23
 Other personal care and service workers ,1,Total fatal injuries (number),23
 First-line supervisors of non-retail sales workers ,3,Total fatal injuries (number),23
 Office and administrative support occupations ,0,Transportation incidents,23
 Building cleaning and pest control workers ,1,"Falls, slips, trips",23
 Building cleaning workers ,2,"Falls, slips, trips",23
" Laborers and material movers, hand ",2,"Falls, slips, trips",23
" Laborers and freight, stock, and material movers, hand ",3,"Falls, slips, trips",23
 Tree trimmers and pruners ,3,Contact with objects and equipment,23
" Athletes, coaches, umpires, and related workers ",2,Total fatal injuries (number),22
 Supervisors of food preparation and serving workers ,1,Total fatal injuries (number),22
 First-line supervisors of food preparation and serving workers ,2,Total fatal injuries (number),22
" Supervisors, transportation and material moving workers ",1,Total fatal injuries (number),22
 Office and administrative support occupations ,0,Violence and other injuries by persons or animals,22
 Landscaping and groundskeeping workers ,3,"Falls, slips, trips",22
 Miscellaneous protective service workers ,2,Total fatal injuries (number),21
" Brickmasons, blockmasons, and stonemasons ",2,Total fatal injuries (number),21
 Plant and system operators ,1,Total fatal injuries (number),21
 Architecture and engineering occupations ,0,Transportation incidents,21
" Entertainers and performers, sports and related workers ",1,Transportation incidents,21
 Fishing and hunting workers ,1,Transportation incidents,21
 Fishers and related fishing workers ,2,Transportation incidents,21
 Fishers and related fishing workers ,3,Transportation incidents,21
" Installation, maintenance, and repair occupations ",0,Fires and explosions,21
 Sales and related occupations ,0,Exposure to harmful substances or environments,21
 Engineers ,1,Total fatal injuries (number),20
 Athletes and sports competitors ,3,Total fatal injuries (number),20
" Derrick, rotary drill, and service unit operators, oil, gas, and mining ",2,Total fatal injuries (number),20
" Miscellaneous installation, maintenance, and repair workers ",2,Total fatal injuries (number),20
" Farming, fishing, and forestry occupations ",0,Violence and other injuries by persons or animals,20
 Electricians ,2,Transportation incidents,20
 Electricians ,3,Transportation incidents,20
 Supervisors of building and grounds cleaning and maintenance workers ,1,"Falls, slips, trips",20
 First-line supervisors of building and grounds cleaning and maintenance workers ,2,"Falls, slips, trips",20
 Agricultural workers ,1,Exposure to harmful substances or environments,20
 Miscellaneous agricultural workers ,2,Exposure to harmful substances or environments,20
 Other sales and related workers ,1,Total fatal injuries (number),19
 Brickmasons and blockmasons ,3,Total fatal injuries (number),19
 Material moving workers ,1,Violence and other injuries by persons or animals,19
" Material recording, scheduling, dispatching, and distributing workers ",1,Transportation incidents,19
 Extraction workers ,1,Transportation incidents,19
 Industrial truck and tractor operators ,2,Transportation incidents,19
 Industrial truck and tractor operators ,3,Transportation incidents,19
" Janitors and cleaners, except maids and housekeeping cleaners ",3,"Falls, slips, trips",19
 Supervisors of construction and extraction workers ,1,Exposure to harmful substances or environments,19
 First-line supervisors of construction trades and extraction workers ,2,Exposure to harmful substances or environments,19
 First-line supervisors of construction trades and extraction workers ,3,Exposure to harmful substances or environments,19
" Laborers and freight, stock, and material movers, hand ",3,Exposure to harmful substances or environments,19
 Other production occupations ,1,Contact with objects and equipment,19
" Life, physical, and social science occupations ",0,Total fatal injuries (number),18
" Miscellaneous electrical and electronic equipment mechanics, installers, and repairers ",2,Total fatal injuries (number),18
 Building and grounds cleaning and maintenance occupations ,0,Violence and other injuries by persons or animals,18
" Supervisors of installation, maintenance, and repair workers ",1,Violence and other injuries by persons or animals,18
" First-line supervisors of mechanics, installers, and repairers ",2,Violence and other injuries by persons or animals,18
" First-line supervisors of mechanics, installers, and repairers ",3,Violence and other injuries by persons or animals,18
 Automotive technicians and repairers ,2,Violence and other injuries by persons or animals,18
 Business and financial operations occupations ,0,Transportation incidents,18
" Athletes, coaches, umpires, and related workers ",2,Transportation incidents,18
 Supervisors of building and grounds cleaning and maintenance workers ,1,Transportation incidents,18
 First-line supervisors of building and grounds cleaning and maintenance workers ,2,Transportation incidents,18
" Farmworkers, farm, ranch, and aquacultural animals ",3,Transportation incidents,18
 Production occupations ,0,Fires and explosions,18
 Retail sales workers ,1,"Falls, slips, trips",18
 Painters and paperhangers ,2,"Falls, slips, trips",18
" Maintenance and repair workers, general ",2,Contact with objects and equipment,18
" Maintenance and repair workers, general ",3,Contact with objects and equipment,18
" Property, real estate, and community association managers ",2,Total fatal injuries (number),17
" Property, real estate, and community association managers ",3,Total fatal injuries (number),17
" Counselors, social workers, and other community and social service specialists ",1,Total fatal injuries (number),17
 Healthcare practitioners and technical occupations ,0,Violence and other injuries by persons or animals,17
 Food and beverage serving workers ,1,Violence and other injuries by persons or animals,17
 Agricultural workers ,1,Violence and other injuries by persons or animals,17
 Miscellaneous agricultural workers ,2,Violence and other injuries by persons or animals,17
 Athletes and sports competitors ,3,Transportation incidents,17
 Personal care and service occupations ,0,Transportation incidents,17
 Water transportation workers ,1,Transportation incidents,17
 Protective service occupations ,0,"Falls, slips, trips",17
" Farming, fishing, and forestry occupations ",0,"Falls, slips, trips",17
 Protective service occupations ,0,Exposure to harmful substances or environments,17
 Building cleaning and pest control workers ,1,Exposure to harmful substances or environments,17
 Tree trimmers and pruners ,3,Exposure to harmful substances or environments,17
 Sales and related occupations ,0,Contact with objects and equipment,17
 Bus and truck mechanics and diesel engine specialists ,2,Contact with objects and equipment,17
 Bus and truck mechanics and diesel engine specialists ,3,Contact with objects and equipment,17
 General and operations managers ,2,Total fatal injuries (number),16
 General and operations managers ,3,Total fatal injuries (number),16
 Food service managers ,2,Total fatal injuries (number),16
 Food service managers ,3,Total fatal injuries (number),16
 Emergency medical technicians and paramedics ,2,Total fatal injuries (number),16
 Emergency medical technicians and paramedics ,3,Total fatal injuries (number),16
" Cooks, restaurant ",3,Total fatal injuries (number),16
" Supervisors of farming, fishing, and forestry workers ",1,Total fatal injuries (number),16
" First-line supervisors of farming, fishing, and forestry workers ",2,Total fatal injuries (number),16
" First-line supervisors of farming, fishing, and forestry workers ",3,Total fatal injuries (number),16
" Mobile heavy equipment mechanics, except engines ",3,Total fatal injuries (number),16
 Bus drivers ,2,Total fatal injuries (number),16
 Cleaners of vehicles and equipment ,3,Total fatal injuries (number),16
 Top executives ,1,Violence and other injuries by persons or animals,16
 Top executives ,1,Transportation incidents,16
 Line installers and repairers ,2,Transportation incidents,16
" First-line supervisors of landscaping, lawn service, and groundskeeping workers ",3,"Falls, slips, trips",16
 Retail salespersons ,2,"Falls, slips, trips",16
 Retail salespersons ,3,"Falls, slips, trips",16
" Painters, construction and maintenance ",3,"Falls, slips, trips",16
 Cooks and food preparation workers ,1,Exposure to harmful substances or environments,16
 Roofers ,2,Exposure to harmful substances or environments,16
 Roofers ,3,Exposure to harmful substances or environments,16
 Line installers and repairers ,2,Exposure to harmful substances or environments,16
" Farmworkers, farm, ranch, and aquacultural animals ",3,Contact with objects and equipment,16
 Legal occupations ,0,Total fatal injuries (number),15
 First-line supervisors of food preparation and serving workers ,3,Total fatal injuries (number),15
 Stock clerks and order fillers ,2,Total fatal injuries (number),15
 Stock clerks and order fillers ,3,Total fatal injuries (number),15
 Structural iron and steel workers ,2,Total fatal injuries (number),15
 Structural iron and steel workers ,3,Total fatal injuries (number),15
" Roustabouts, oil and gas ",2,Total fatal injuries (number),15
" Roustabouts, oil and gas ",3,Total fatal injuries (number),15
 Assemblers and fabricators ,1,Total fatal injuries (number),15
 Cooks and food preparation workers ,1,Violence and other injuries by persons or animals,15
 Construction laborers ,2,Violence and other injuries by persons or animals,15
 Construction laborers ,3,Violence and other injuries by persons or animals,15
" Other installation, maintenance, and repair occupations ",1,Violence and other injuries by persons or animals,15
 Taxi drivers and chauffeurs ,2,Violence and other injuries by persons or animals,15
 Taxi drivers and chauffeurs ,3,Violence and other injuries by persons or animals,15
 Miscellaneous protective service workers ,2,Transportation incidents,15
" Farmers, ranchers, and other agricultural managers ",2,"Falls, slips, trips",15
" Farmers, ranchers, and other agricultural managers ",3,"Falls, slips, trips",15
" Heating, air conditioning, and refrigeration mechanics and installers ",2,"Falls, slips, trips",15
" Heating, air conditioning, and refrigeration mechanics and installers ",3,"Falls, slips, trips",15
 Management occupations ,0,Exposure to harmful substances or environments,15
 Other management occupations ,1,Exposure to harmful substances or environments,15
 Cooks ,2,Exposure to harmful substances or environments,15
 Building cleaning workers ,2,Exposure to harmful substances or environments,15
 Metal workers and plastic workers ,1,Exposure to harmful substances or environments,15
" Farmworkers and laborers, crop, nursery, and greenhouse ",3,Contact with objects and equipment,15
 Financial specialists ,1,Total fatal injuries (number),14
 Art and design workers ,1,Total fatal injuries (number),14
 First-line supervisors of fire fighting and prevention workers ,2,Total fatal injuries (number),14
 First-line supervisors of fire fighting and prevention workers ,3,Total fatal injuries (number),14
 Crossing guards ,3,Total fatal injuries (number),14
 Postal service workers ,2,Total fatal injuries (number),14
 Highway maintenance workers ,2,Total fatal injuries (number),14
 Highway maintenance workers ,3,Total fatal injuries (number),14
 Industrial machinery mechanics ,3,Total fatal injuries (number),14
 Rail transportation workers ,1,Total fatal injuries (number),14
 Automotive service technicians and mechanics ,3,Violence and other injuries by persons or animals,14
 Health diagnosing and treating practitioners ,1,Transportation incidents,14
 Health technologists and technicians ,1,Transportation incidents,14
" First-line supervisors of landscaping, lawn service, and groundskeeping workers ",3,Transportation incidents,14
 Management occupations ,0,Fires and explosions,14
 Construction trades workers ,1,Fires and explosions,14
" Vehicle and mobile equipment mechanics, installers, and repairers ",1,Fires and explosions,14
 Food preparation and serving related occupations ,0,"Falls, slips, trips",14
 Electricians ,2,"Falls, slips, trips",14
 Electricians ,3,"Falls, slips, trips",14
 Electrical power-line installers and repairers ,3,Exposure to harmful substances or environments,14
 Supervisors of building and grounds cleaning and maintenance workers ,1,Contact with objects and equipment,14
